3 , -0.5866 , 6.0001 , 7.8724 , -0.1031 , 5.9616 , 7.7858 , 0.7402 , 0.5980 , -0.2632 , -0.4835 , 0.0384 , 0.0866 , 0.6602 , -37.4392 , -0.7589 , 37.4469
4 , -0.6872 , 6.2323 , 8.4111 , -0.6954 , 6.0481 , 7.6881 , -0.1981 , 0.2223 , 0.1834 , 0.0082 , 0.1842 , 0.7230 , 0.6106 , -38.0784 , -5.1681 , 38.4275
2 , -0.3113 , 6.2945 , 8.7319 , -0.0113 , 5.8770 , 7.8505 , -0.3551 , 1.2736 , -0.2595 , -0.2999 , 0.4175 , 0.8814 , 0.6303 , -36.8190 , -0.0828 , 36.8191
8 , -0.1508 , 5.7870 , 8.3895 , -0.0334 , 5.7079 , 7.9742 , -0.0631 , 0.2840 , 0.0245 , -0.1174 , 0.0790 , 0.4153 , 0.6398 , -35.5947 , -0.2403 , 35.5956
3 , 0.2610 , 7.7311 , 8.2938 , 0.3079 , 6.5375 , 7.3032 , -0.2549 , -0.1405 , 0.1754 , -0.0469 , 1.1936 , 0.9906 , 0.6716 , -41.8082 , 2.4138 , 41.8778
4 , -0.8524 , 6.0408 , 7.8556 , -0.1933 , 6.2716 , 7.5365 , -0.1468 , 0.6890 , -0.3120 , -0.6591 , -0.2309 , 0.3191 , 0.6662 , -39.7567 , -1.4691 , 39.7838
5 , -0.0790 , 6.2850 , 6.9602 , -0.0868 , 5.7111 , 7.9716 , 0.4415 , -0.0379 , 0.3434 , 0.0077 , 0.5738 , -1.0114 , 0.6686 , -35.6178 , -0.6236 , 35.6232
3 , 0.1987 , 5.6218 , 8.7774 , 0.0571 , 5.7829 , 7.9199 , 0.6101 , 0.0855 , 0.3025 , 0.1416 , -0.1611 , 0.8575 , 0.6535 , -36.1349 , 0.4134 , 36.1373
1 , -0.1963 , 6.4406 , 7.9538 , -0.6490 , 6.6001 , 7.2241 , 0.1770 , 0.1167 , 0.0551 , 0.4527 , -0.1595 , 0.7297 , 0.6787 , -42.3012 , -5.1335 , 42.6115
1 , -3.7470 , 6.5747 , 4.2786 , -1.9999 , 6.1659 , 7.3589 , -0.0655 , 0.3647 , -0.2503 , -1.7471 , 0.4088 , -3.0803 , 0.7045 , -38.9574 , -15.2040 , 41.8192
4 , -0.6488 , 6.5795 , 7.7551 , -0.3299 , 5.7772 , 7.9174 , 0.2943 , -0.5803 , 0.0337 , -0.3189 , 0.8023 , -0.1624 , 0.6604 , -36.0937 , -2.3863 , 36.1725
2 , -0.7686 , 5.6601 , 8.3584 , -0.5045 , 5.6891 , 7.9718 , 0.2472 , -0.0147 , 0.0801 , -0.2641 , -0.0291 , 0.3866 , 0.6595 , -35.4598 , -3.6211 , 35.6442
10 , -0.6776 , 4.4701 , 8.5715 , -1.2638 , 4.6532 , 8.5393 , -0.3716 , 0.0385 , -0.3890 , 0.5863 , -0.1831 , 0.0322 , 0.6251 , -28.3267 , -8.4187 , 29.5512
